year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2017,rising,05-08,05-12,05-17,128,132,137
2017,falling,10-04,10-02,09-10,277,275,253
2018,rising,05-09,05-12,05-16,129,132,136
2018,falling,10-01,09-29,09-24,274,272,267
2019,rising,05-13,05-18,05-25,133,138,145
2019,falling,10-01,09-28,09-18,274,271,261
2020,rising,05-16,05-18,05-22,137,139,143
2020,falling,09-22,09-21,09-17,266,265,261
2021,rising,05-10,05-13,05-17,130,133,137
2021,falling,09-24,09-23,09-17,267,266,260
2022,rising,05-10,05-14,05-19,130,134,139
2022,falling,09-30,09-29,09-25,273,272,268
2023,rising,05-08,05-11,05-16,128,131,136
2023,falling,09-21,09-19,09-14,264,262,257
2024,rising,05-04,05-08,05-13,125,129,134
2024,rising,10-19,10-20,10-26,293,294,300
2024,falling,10-07,10-05,09-29,281,279,273
